product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
6201100071691,Fruity Flavoured Soft Drink,600 ml,Mirinda,US,"Pepsico, Inc",RW,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,24
6201100071691,Fruity Flavoured Soft Drink,600 ml,Mirinda,US,"Pepsico, Inc",TZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,134
6201100071707,Energy drink,600 ml,Mountain Dew,US,"Pepsico, Inc",KE,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,16
6201100071707,Energy drink,600 ml,Mountain Dew,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
6201100071714,Lemon-Lime Flavoured Drink,600 ml,7UP,US,Keurig Dr Pepper Inc.,TZ,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,3
6201100071738,pepsi diet,600ml,Pepsi,US,"Pepsico, Inc",TZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,4
6201100071912,Pepsi Max,400 ml,Pepsi,US,"Pepsico, Inc",GB,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
6201100071912,Pepsi Max,400 ml,Pepsi,US,"Pepsico, Inc",TZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,211
6201100072308,Gatorade Carbonated Sports Drink,400 ml,7UP,US,Keurig Dr Pepper Inc.,TZ,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,47
6201100350628,Anjari Q Pure Drinking Water,1.0 L,Anjari,TZ,Anjari Soda Factory Ltd,TZ,https://wastebase.org/#/o/5bfedbac-f95d-49e9-81dd-936e6d0cc685,,63
6201101020025,Pure Drinking Water,1.5 L,Dew Drop,TZ,Dew Drop Drinks Co.Ltd,TZ,https://wastebase.org/#/o/b122e0c5-b565-4c7f-98c9-c7456ac735e6,,70
6201101020087,Premium Pure Drinking Water,600 ml,Dew Drop,TZ,Dew Drop Drinks Co.Ltd,TZ,https://wastebase.org/#/o/b122e0c5-b565-4c7f-98c9-c7456ac735e6,,71
6201101020094,Premium Pure Drinking Water,1.0 L,Dew Drop,TZ,Dew Drop Drinks Co.Ltd,TZ,https://wastebase.org/#/o/b122e0c5-b565-4c7f-98c9-c7456ac735e6,,16
6201101060342,RED GOLD,900g,TOMATO SAUCE,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,13
6201101060366,Tomato Sauce,250g,Red Gold,TZ,Red Gold Tomato Source,MZ,https://wastebase.org/#/o/153b37f2-190d-411a-95fe-ddbd49be640e,,1
6201101060366,Tomato Sauce,250g,Red Gold,TZ,Red Gold Tomato Source,TZ,https://wastebase.org/#/o/153b37f2-190d-411a-95fe-ddbd49be640e,,37
6203000036275,K-Vant Spirit,250 ml,K-Vant,TZ,Mega Beverages Company Co Ltd.,TZ,https://wastebase.org/#/o/adde1b3d-87b6-4c9a-9c45-c3fffb99da19,,102
6203000080032,Drinking Water,1.5 L,Jambo,TZ,Jambo Group,RW,https://wastebase.org/#/o/09c1eeaf-fc7c-426b-b381-effdea28a658,,14
6203000080032,Drinking Water,1.5 L,Jambo,TZ,Jambo Group,TZ,https://wastebase.org/#/o/09c1eeaf-fc7c-426b-b381-effdea28a658,,20
6203000080186,Embe Dodo Fruit Juice Drink,300 ml,Jambo,TZ,Jambo Group,TZ,https://wastebase.org/#/o/09c1eeaf-fc7c-426b-b381-effdea28a658,,7
6203000080759,Apple punch,300 ml,Jambo,TZ,Jambo Group,TZ,https://wastebase.org/#/o/09c1eeaf-fc7c-426b-b381-effdea28a658,,20
6203001630045,U-Fresh Pineapple Flovoured Drink,180ml,U-Fresh,TZ,U Fresh Juice,TZ,https://wastebase.org/#/o/bd8a2a33-ee1e-4c6b-8242-5c6a14529139,,2
6203001630083,Mango Flavoured  Drink,180 ml,U-Fresh,TZ,U Fresh Juice,TZ,https://wastebase.org/#/o/bd8a2a33-ee1e-4c6b-8242-5c6a14529139,,7
6203001630632,Pineapple Flavoured Drink,330 ml,U-Fresh,TZ,U Fresh Juice,TZ,https://wastebase.org/#/o/bd8a2a33-ee1e-4c6b-8242-5c6a14529139,,10
6203001630649,Mango Flavoured Drink,330 ml,U-Fresh,TZ,U Fresh Juice,TZ,https://wastebase.org/#/o/bd8a2a33-ee1e-4c6b-8242-5c6a14529139,,18
6203001630656,Orange Flavoured Drink,330 ml,U-Fresh,TZ,U Fresh Juice,TZ,https://wastebase.org/#/o/bd8a2a33-ee1e-4c6b-8242-5c6a14529139,,9
6203003250173,Non Alcoholic Malt Drink,400 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,7
6203003250180,Afiya Orange Flavour,400 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,3
6203003250210,Jembe Drink,400ml,Jembe,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,66
6203003250524,Afiya Berries Flavour,400ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,121
6203003250630,Afiya Tangawizi,300 ml,Afya,TZ,Watercom (T) Ltd,RW,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,4
6203003250647,Drinking Water,1.6 L,Afya,TZ,Watercom (T) Ltd,RW,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,1
6203003250807,plain yoghurt,500ml,Milk Com,UK,UNKNOWN_ORG,RW,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
6203003250807,plain yoghurt,500ml,Milk Com,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
6203003251033,Drinking water,600 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,141
6203003251118,Fruit drink,300 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,60
6203003251224,Embe / Mango Juice Drink,300 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,87
6203003260004,Mineral water,350 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,222
6203003260011,Drinking Water,500 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,86
6203003260028,Drinking Water,1500 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,40.000,277
6203003260110,Mineral Water,1000 ml,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,25.000,359
6203003260141,Drinking Water,13 L,Afya,TZ,Watercom (T) Ltd,TZ,https://wastebase.org/#/o/888420e1-1259-4c47-adfe-30740e9afa49,,6
6203003310679,Tomato Sauce,870g,Dabaga Vegetable & Fruits Canning,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
6203003350088,Twist Soft Drink,300 ml,Sayona,TZ,Motisun Group,RW,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,1250
6203003350125,Twist,350 ml,Sayona,TZ,Motisun Group,RW,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,258
6203003350132,Twist Spark,400 ml,Sayona,TZ,Motisun Group,RW,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,3
6203003350132,Twist Spark,400 ml,Sayona,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,4
6203003350187,Mango juice drink,300ml,Sayona,TZ,Motisun Group,RW,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,1
6203003350187,Mango juice drink,300ml,Sayona,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,246
6203003350255,Drinking Water,500 ml,ManziValley,MZ,Manzi Valley Limited,TZ,https://wastebase.org/#/o/e2aa2582-e9dd-480b-9346-cad5507418fa,,21
6203003350279,Packaged Drinking water,1.0 L,Valley,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,11
6203003350545,Orange Dairy Blend Concentrate,400ml,Sayona,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,84
6203003350620,Passion Fruit Flavoured Carbonated Soft Drink,400 ml,Sayona Twist,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,22
6203003350651,Carbonated Flavoured Soft Drink,400ml,Sayona Twist,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,40
6203003350712,Tunda Embe / Mango Juice Drink,300 ml,Sayona,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,87
6203003350743,Tunda Mix,300ml,Sayona,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,8
6203003350798,malto,350 ml,Sayona,TZ,Motisun Group,RW,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,84
6203003350842,Twist,350 ml,Furaha,UK,UNKNOWN_ORG,RW,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,11
6203003350859,CARBONATED FLAVOURED DRINK,400 ml,Sayona Twist,TZ,Motisun Group,RW,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,25
6203003350859,CARBONATED FLAVOURED DRINK,400 ml,Sayona Twist,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,34
6203003350873,Twist pineapple,400 ml,Sayona Twist,TZ,Motisun Group,TZ,https://wastebase.org/#/o/d085a391-c4b0-4605-843a-28788c216c4e,,1
6203004570157,Alcoholic Drink,300 ml,Super Burudani,TZ,HAKIKA BREWERIES LIMITED,TZ,https://wastebase.org/#/o/6239068b-f169-454d-aad3-04bf8e298022,,23
6203004570201,Fortified Wine,200ml,Super Burudani,TZ,HAKIKA BREWERIES LIMITED,TZ,https://wastebase.org/#/o/6239068b-f169-454d-aad3-04bf8e298022,,223
6203004920006,Natural Spring Water,600 ml,Bunena,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,22
6203005570361,Valeur Superior Brandy,200ml,Valeur,BE,Anheuser-Busch InBev,TZ,https://wastebase.org/#/o/3c5a74ee-5738-453a-8bf6-e5a95674c168,,31
6203008190504,Pure Drinking Water,500 ml,Uhuru Peak,UK,UNKNOWN_ORG,RW,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
6203008190504,Pure Drinking Water,500 ml,Uhuru Peak,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,19
6203008950245,Pure Sunflower Oil,1.0 L,Sundrop,TZ,Alaska Tanzania Industries,MZ,https://wastebase.org/#/o/6c9706c2-2edf-4594-8755-f91c1d6d67a1,,27
6203008950245,Pure Sunflower Oil,1.0 L,Sundrop,TZ,Alaska Tanzania Industries,TZ,https://wastebase.org/#/o/6c9706c2-2edf-4594-8755-f91c1d6d67a1,,12
6203008950245,Pure Sunflower Oil,1.0 L,Sundrop,TZ,Alaska Tanzania Industries,ZA,https://wastebase.org/#/o/6c9706c2-2edf-4594-8755-f91c1d6d67a1,,1
6203009160025,Potable cane spirit,200 ml,Double Kick,TZ,Kibo Breweries Ltd,TZ,https://wastebase.org/#/o/f8fb0594-8883-434f-92ae-e2efddd5f4f4,20.000,300
6203009790291,Sunflower oil,1.0 L,Pera fresh produce of Tanzania,TZ,PERA Afrika Ltd,TZ,https://wastebase.org/#/o/59369b55-9a65-437f-abad-e0590ae20a8c,,1
6203010360087,smart gi,200ml,smart gin,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,32
6203011060337,Pure Drinking Water,6.0 L,Uhai,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,21
6203011060344,Pure Drinking Water,1.6 L,Uhai,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,36.000,1252
6203011060368,Pure Drinking Water,600 ml,Uhai,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,21.000,325
6203011060375,Pure Drinking Water,350 ml,Uhai,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,51
6203011060429,Energy Drink,250 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,RW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,3
6203011060429,Energy Drink,250 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,23
6203011060436,Apple punch,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,KE,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,24.000,4
6203011060436,Apple punch,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,MW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,24.000,32
6203011060436,Apple punch,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,24.000,307
6203011060474,Mango Fruit Juice Drink,1.0l,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,37
6203011060801,Mango Fruit Juice Drink (Azam Embe),300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,RW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,148
6203011060801,Mango Fruit Juice Drink (Azam Embe),300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,206
620301106081,Embe / Mango Juice Drink,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,RW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,1
620301106081,Embe / Mango Juice Drink,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,26
6203011060856,Carbonated Soft Drink,300 ml,Vimto,GB,Nichols plc,TZ,https://wastebase.org/#/o/85022289-591b-4e34-907f-4c54a87c522f,,28
6203011060894,Fursana Carbonated Soft Drink,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,105
6203011061327,Embe Fruit juice,500ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,MW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,44
6203011061327,Embe Fruit juice,500ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,RW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,26
6203011061327,Embe Fruit juice,500ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,132
6203011061358,Fruit Juice Drink,300ml,Mango Crush,UK,UNKNOWN_ORG,RW,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
6203011061358,Fruit Juice Drink,300ml,Mango Crush,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,78
6203011061365,Ukwaju,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,MW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,11
6203011061365,Ukwaju,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,105
6203011061365,Ukwaju,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,ZM,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,1
6203011061457,Fursana Berry Flavoured,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,RW,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,1
6203011061457,Fursana Berry Flavoured,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,75
6203011061464,Swiss Carbonated Beverage,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,2
6203011061716,Ukwaju Tamarind Juice Drink,500 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,65
6203011061716,Ukwaju Tamarind Juice Drink,500 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,ZM,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,1
6203011061747,Ubuyu / Baobab Fruit Drink,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,14
6203011061839,Carbonated Soft Drink,300 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,91
6203011061846,Cola,500 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,35
6203011061853,Embe Flavoured Drink,400 ml,Minute Maid,US,Coca-Cola,TZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,134
6203011061884,Coco Plus Soft  Drink,300ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,2
6203011990047,Drink Dance Gin,200ml,Leader's Ananasi,TZ,Prime Care Distilleries Ltd,RW,https://wastebase.org/#/o/ecfa97f4-9c11-4c86-9f85-11abffa3f51d,,8
6203011990047,Drink Dance Gin,200ml,Leader's Ananasi,TZ,Prime Care Distilleries Ltd,TZ,https://wastebase.org/#/o/ecfa97f4-9c11-4c86-9f85-11abffa3f51d,,690
6203012300005,Pure Drinking Water,1.0 L,Masafi,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,63
6203012300029,Chungwa,400 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,27.500,368
6203012300036,Carbonated Soft Drink,400ml,Mo Portello,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,65
6203012300043,Passion Flavour Carbonated Drink,400 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,24.000,384
6203012300074,Pineapple Flavoured Carbonated Soft Drink,400 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,135
6203012300197,Pure Drinking Water,1.7 L,Masafi,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,22
6203012300210,Pure Drinking Water,600 ml,Maisha,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,144
6203012300227,Drinking Water,1.5 L,Masafi,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,209
6203012300364,Pride Blackcurrant Flavored Drink,200 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,39
6203012300395,Chungwa / Orange Carbonated Flavoured Soft Drink,320 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,50
6203012300418,Portello Blackcurrant Flavoured Soft Drink,320 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,5
6203012300456,Pineapple Flavoured Carbonated soft drink,320 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,27.500,50
